species,min_elevation,max_elevation,range
Ficus tovarensis,600,600,0
Ficus trianae,0,1100,1100
Ficus trigona,0,2800,2800
Ficus velutina,1900,2400,500
Frangula goudotiana,1600,2100,500
Frangula granulosa,100,1900,1800
Frangula sphaerosperma,800,3300,2500
Freziera candicans,900,1400,500
Freziera canescens,900,3200,2300
Freziera chrysophylla,0,1500,1500
Freziera karsteniana,0,1700,1700
Freziera punctata,700,1200,500
Freziera reticulata,0,1800,1800
Freziera verrucosa,0,2500,2500
Fusaea longifolia,100,1900,1800
Gaiadendron punctatum,2200,3700,1500
Garcinia intermedia,800,1900,1100
Garcinia macrophylla,900,1800,900
Garcinia madruno,1100,2500,1400
Geissanthus ambigua,800,2800,2000
Geissanthus andinus,1100,1700,600
Alsophila cuspidata,1200,1900,700
Alsophila engelii,0,1600,1600
Alsophila erinacea,1500,2400,900
Alsophila incana,0,1400,1400
Alzatea verticillata,200,2100,1900
Amaioua guianensis,400,1600,1200
Ampelocera edentula,0,1500,1500
Ampelocera longissima,0,1100,1100
Ampelocera macrocarpa,500,500,0
Amphirrhox longifolia,0,700,700
Amyris ignea,0,0,0
Amyris pinnata,1100,1200,100
Amyris sylvatica,700,1100,400
Anacardium excelsum,0,2400,2400
Anacardium giganteum,0,600,600
Anacardium occidentale,0,1300,1300
Anadenanthera colubrina,0,2200,2200
Anadenanthera columbrina,0,2200,2200
Anaxagorea brevipes,0,1000,1000
Andira chigorodensis,0,900,900
Andira inermis,200,2000,1800
Andira surinamensis,200,700,500
Andira taurotesticulata,0,1800,1800
Aniba canelilla,600,800,200
Aniba coto,100,2100,2000
Aniba hostmanniana,0,2000,2000
Aniba muca,1600,2700,1100
Aniba panurensis,200,2900,2700
Aniba perutilis,400,2900,2500
Aniba puchury-minor,100,3400,3300
Aniba riparia,0,2100,2100
Aniba robusta,0,2100,2100
Annona amazonica,0,700,700
Annona cherimola,400,2700,2300
Annona cuspidata,0,1700,1700
Geissanthus betancurii,1400,1400,0
Geissanthus bogotensis,0,2200,2200
Geissanthus ecuadorensis,0,2000,2000
Geissanthus fragrans,0,600,600
Geissanthus longistamineus,100,2800,2700
Geissanthus occidentalis,0,2400,2400
Genipa americana,500,2200,1700
Geonoma deversa,600,2500,1900
Geonoma orbignyana,1900,3100,1200
Geonoma undata,1300,3100,1800
Gloeospermum longifolium,500,2100,1600
Gloeospermum sphaerocarpum,900,1900,1000
Glossoloma tetragonoides,300,2700,2400
Godmania aesculifolia,0,3100,3100
Gonzalagunia cornifolia,0,3100,3100
Gonzalagunia dicocca,0,1600,1600
Gordonia fruticosa,1400,3300,1900
Gordonia robusta,1700,1700,0
Goupia glabra,0,800,800
Graffenrieda cucullata,1100,2300,1200
Graffenrieda emarginata,200,2300,2100
Graffenrieda galeottii,0,1700,1700
Graffenrieda gracilis,1000,1800,800
Graffenrieda intermedia,0,1600,1600
Graffenrieda latifolia,0,2100,2100
Graffenrieda micrantha,300,300,0
Graffenrieda santamartensis,700,700,0
Grias haughtii,500,1200,700
Guapira costaricana,1500,1700,200
Guapira pubescens,1100,1100,0
Guarea cartaguenya,100,1600,1500
Guarea glabra,1000,2100,1100
Guarea grandifolia,0,2300,2300
Guarea guidonia,1300,2200,900
Guarea kunthiana,2100,3000,900
Guarea macrophylla,1100,2400,1300
Guarea pterorhachis,800,1700,900
Guarea purusana,0,1800,1800
Guarea pyriformis,0,900,900
Guarea silvatica,0,1400,1400
Guatteria aberrans,800,800,0
Guatteria amplifolia,1800,2500,700
Guatteria asplundiana,1800,1900,100
Guatteria blepharophylla,700,1900,1200
Guatteria cargadero,0,2200,2200
Guatteria cestrifolia,200,1700,1500
Guatteria columbiana,1700,1700,0
Guatteria glauca,500,2700,2200
Guatteria goudotiana,800,2300,1500
Guatteria hirsuta,1600,2100,500
Guatteria hyposericea,0,200,200
Guatteria laurina,1800,1800,0
Guatteria megalophylla,600,2000,1400
Guatteria pittieri,500,1700,1200
Guatteria punctata,1700,2200,500
Guatteria recurvisepala,0,2600,2600
Guatteria schomburgkiana,100,700,600
Guazuma ulmifolia,1300,3400,2100
Guettarda aromatica,0,1800,1800
Guettarda crispiflora,1100,3200,2100
Guettarda dependens,600,2700,2100
Guettarda malacophylla,0,400,400
Guettarda roupalifolia,0,1700,1700
Guettarda sanblasensis,0,600,600
Guettarda tournefortiopsis,0,1900,1900
Gustavia dubia,800,800,0
Gustavia hexapetala,100,1500,1400
Gustavia nana,0,500,500
Gustavia poeppigiana,0,900,900
Gustavia romeroi,0,700,700
Gustavia speciosa,200,1300,1100
Gustavia superba,0,1700,1700
Gyrocarpus americanus,1200,1200,0
Handroanthus chrysanthus,0,2300,2300
Handroanthus impetiginosus,0,1600,1600
Handroanthus obscurus,0,200,200
Handroanthus ochraceus,0,2100,2100
Handroanthus serratifolius,700,1100,400
Hasseltia floribunda,1600,2400,800
Hasseltia lateriflora,0,500,500
Haydenoxylon gentryi,1400,1800,400
Hebeclinium phoenicticum,1400,1400,0
Hebepetalum humiriifolium,0,800,800
Hedyosmum angustifolium,0,2700,2700
Hedyosmum bonplandianum,2500,2800,300
Hedyosmum crenatum,1600,2100,500
Hedyosmum cuatrecazanum,700,3100,2400
Hedyosmum cumbalense,1000,3200,2200
Hedyosmum gentryi,200,1100,900
Hedyosmum goudotianum,800,2700,1900
Hedyosmum luteynii,0,3100,3100
Hedyosmum maximum,0,1800,1800
Hedyosmum parvifolium,800,1100,300
Hedyosmum racemosum,2100,3300,1200
Hedyosmum scaberrimum,0,1900,1900
Hedyosmum scabrum,0,2400,2400
Hedyosmum sprucei,600,2700,2100
Hedyosmum translucidum,300,1900,1600
Heisteria acuminata,900,3100,2200
Heisteria latifolia,600,1600,1000
Heisteria nitida,0,1500,1500
Heliconia nigripraefixa,600,900,300
Helicostylis scabra,0,900,900
Helicostylis tomentosa,600,2400,1800
Helicostylis tovarensis,800,2000,1200
Helicteres baruensis,1200,1900,700
Heliocarpus americanus,400,2900,2500
Henriettea fissanthera,0,1700,1700
Henriettea trachyphylla,1600,1700,100
Henriettea verrucosa,0,1400,1400
Hernandia didymantha,0,300,300
Herrania balaensis,0,700,700
Herrania laciniifolia,300,300,0
Herrania purpurea,0,200,200
Hesperomeles ferruginea,1700,3700,2000
Hesperomeles goudotiana,1200,1400,200
Hesperomeles obtusifolia,1500,3400,1900
Heteropterys laurifolia,300,1600,1300
Hevea guianensis,500,3000,2500
Hieronyma alchorneoides,2000,2400,400
Hieronyma antioquensis,500,800,300
Hieronyma asperifolia,500,2000,1500
Hieronyma duquei,300,2500,2200
Hieronyma fendleri,500,3000,2500
Hieronyma huilensis,1900,2500,600
Hieronyma macrocarpa,0,2500,2500
Hieronyma oblonga,2000,2800,800
Hieronyma rufa,400,500,100
Hieronyma scabrida,500,1300,800
Hillia parasitica,500,2400,1900
Himatanthus articulatus,500,1200,700
Hippotis albiflora,0,1800,1800
Hippotis brevipes,0,2100,2100
Hirtella bicornis,0,900,900
Hirtella eriandra,0,600,600
Hirtella mutisii,400,1600,1200
Hirtella pilosissima,0,1300,1300
Hirtella racemosa,400,1300,900
Hirtella triandra,400,2500,2100
Hirtella tubiflora,0,1000,1000
Hoffmannia longipetiolata,0,2500,2500
Hortia brasiliana,0,1200,1200
Huberodendron patinoi,400,1000,600
Huertea glandulosa,0,2300,2300
Huertea granadina,1000,1000,0
Humiriastrum colombianum,0,500,500
Hura crepitans,500,2700,2200
Hymenaea courbaril,600,1900,1300
Hymenaea oblongifolia,300,1100,800
Hymenopus heteromorphus,0,1400,1400
Hyospathe elegans,400,2700,2300
Hyptidendron arboreum,0,1600,1600
Ilex andicola,0,1600,1600
Ilex colombiana,0,400,400
Ilex danielis,400,1100,700
Ilex goudotii,600,1200,600
Ilex guayusa,0,2800,2800
Ilex karstenii,0,400,400
Ilex laurina,0,2700,2700
Ilex myricoides,100,1600,1500
Ilex nervosa,700,1900,1200
Ilex pernervata,1500,1900,400
Ilex pustulosa,0,500,500
Ilex sessiliflora,500,1100,600
Inga acreana,1100,2200,1100
Inga acrocephala,1300,2500,1200
Inga acuminata,300,2400,2100
Inga alba,700,1700,1000
Inga bourgonii,600,2000,1400
Inga capitata,400,2600,2200
Inga chartacea,300,2100,1800
Inga cinnamomea,0,1600,1600
Inga cocleensis,0,2800,2800
Inga coruscans,100,2400,2300
Inga densiflora,200,3400,3200
Inga edulis,400,2600,2200
Inga fendleriana,0,1600,1600
Inga heterophylla,800,1800,1000
Inga lallensis,200,2900,2700
Inga laurina,0,2100,2100
Inga lopadadenia,0,1100,1100
Inga macrophylla,0,1800,1800
Inga marginata,1400,2700,1300
Inga mucuna,0,2300,2300
Inga multijuga,1300,2100,800
Inga multinervis,0,1600,1600
Inga nobilis,2000,2400,400
Inga oerstediana,1400,2400,1000
Inga pezizifera,300,1700,1400
Inga pruriens,0,700,700
Inga punctata,1300,2900,1600
Inga ruiziana,1300,3000,1700
Inga sapindoides,600,2300,1700
Inga sertulifera,0,1600,1600
Inga setosa,100,2000,1900
Inga sierrae,0,1600,1600
Inga spectabilis,0,2100,2100
Inga stenoptera,200,2700,2500
Inga striata,800,2700,1900
Inga thibaudiana,1000,1800,800
Inga tomentosa,0,2200,2200
Inga umbellifera,400,2700,2300
Inga velutina,400,1900,1500
Inga venusta,0,1700,1700
Inga vera,0,3000,3000
Inga villosissima,0,2000,2000
Iriartea deltoidea,1200,2600,1400
Iryanthera hostmannii,300,800,500
Iryanthera juruensis,100,1300,1200
Iryanthera paraensis,200,1700,1500
Iryanthera ulei,0,1200,1200
Isertia laevis,900,2400,1500
Isidodendron tripterocarpum,100,100,0
Jacaranda caucana,2000,3000,1000
Jacaranda copaia,500,2300,1800
Jacaranda glabra,0,2400,2400
Jacaranda hesperia,0,1100,1100
Jacaranda mimosifolia,300,1800,1500
Jacaranda obtusifolia,100,1000,900
Jacaratia chocoensis,0,600,600
Jacaratia digitata,600,2100,1500
Joosia umbellifera,0,2000,2000
Juglans neotropica,700,2900,2200
Klarobelia anomala,0,300,300
Lacistema aggregatum,0,2000,2000
Lacistema nena,0,1100,1100
Lacmellea edulis,0,1600,1600
Lacunaria crenata,200,1300,1100
Ladenbergia macrocarpa,0,2800,2800
Ladenbergia macrophylla,0,200,200
Ladenbergia magdalenae,1500,1500,0
Ladenbergia moritziana,0,0,0
Ladenbergia muzonensis,0,1900,1900
Ladenbergia oblongifolia,1900,3100,1200
Lafoensia acuminata,0,2500,2500
Lecointea amazonica,0,1000,1000
Lecythis ampla,0,1400,1400
Lecythis mesophylla,800,800,0
Lecythis minor,0,200,200
Lecythis tuyrana,200,500,300
Leonia glycycarpa,700,1900,1200
Leonia occidentalis,100,900,800
Leonia triandra,0,2800,2800
Leucaena trichodes,200,3100,2900
Licania canescens,0,500,500
Licania harlingii,0,900,900
Licania hypoleuca,200,900,700
Licania micrantha,100,1200,1100
Licania octandra,0,800,800
Licaria applanata,1300,1900,600
Licaria canella,1200,2700,1500
Licaria cannella,1200,2700,1500
Licaria triandra,800,2100,1300
Ligustrum lucidum,0,3200,3200
Lindackeria laurina,500,1000,500
Lindackeria paludosa,400,1800,1400
Lippia americana,0,1200,1200
Lippia hirsuta,0,3200,3200
Lonchocarpus macrophyllus,800,1400,600
Lonchocarpus sericeus,0,1200,1200
Lonchocarpus velutinus,2000,2000,0
Lozanella enantiophylla,800,2400,1600
Lozania mutisiana,500,2700,2200
Luehea seemannii,0,2100,2100
Lunania parviflora,500,2300,1800
Lycianthes inaequilatera,1300,2900,1600
Lycianthes pauciflora,1700,2200,500
Mabea occidentalis,300,2000,1700
Mabea trianae,600,1500,900
Machaerium acutifolium,0,1500,1500
Machaerium biovulatum,0,1300,1300
Machaerium capote,900,1100,200
Machaerium floribundum,200,1400,1200
Machaerium hirtum,0,1800,1800
Machaerium lanceolatum,600,600,0
Machaerium moritzianum,1200,1200,0
Machaerium mutisii,0,600,600
Macleania rupestris,0,3600,3600
Maclura tinctoria,1300,3600,2300
Macrocarpaea glabra,1400,1900,500
Macrocarpaea macrophylla,2200,3100,900
Macrocnemum grandiflorum,0,300,300
Macrocnemum roseum,1400,2400,1000
Macrohasseltia macroterantha,400,400,0
Macrolobium colombianum,700,2000,1300
Macrolobium gracile,100,1500,1400
Macrolobium pittieri,500,500,0
Magnolia cespedesii,0,0,0
Magnolia chimantensis,300,300,0
Magnolia espinalii,700,700,0
Magnolia silvioi,900,900,0
Magnolia urraoensis,1100,1100,0
Magnolia yarumalensis,2400,2400,0
Malmea dimera,0,0,0
Malouetia guatemalensis,500,500,0
Malpighia glabra,200,2000,1800
Manilkara bidentata,700,1800,1100
Manilkara chicle,100,100,0
Maprounea guianensis,700,1200,500
Maquira calophylla,0,2100,2100
Maquira guianensis,0,2700,2700
Marcgraviastrum macrocarpum,0,1600,1600
Margaritaria nobilis,1000,2600,1600
Marila geminata,600,600,0
Marila laxiflora,600,2300,1700
Marila podantha,0,1000,1000
Matayba adenanthera,100,1200,1100
Matayba arborescens,0,2300,2300
Matayba camptoneura,0,1700,1700
Matayba elegans,0,2400,2400
Matayba guianensis,0,1900,1900
Matayba peruviana,0,1700,1700
Matayba purgans,200,1600,1400
Matayba scrobiculata,200,600,400
Matisia castano,200,1600,1400
Matisia cornu-copiae,0,1900,1900
Matisia floccosa,0,1800,1800
Matisia idroboi,0,1700,1700
Matudaea colombiana,200,1000,800
Mauria ferruginea,0,2600,2600
Mauria heterophylla,0,3000,3000
Mauria simplicifolia,0,3000,3000
Mauritia flexuosa,0,2000,2000
Mayna grandifolia,0,1400,1400
Mayna odorata,1100,1700,600
Mayna suaveolens,0,200,200
Maytenus longipes,700,700,0
Maytenus verticillata,0,2300,2300
Melicoccus bijugatus,700,1500,800
Melicoccus oliviformis,0,300,300
Meliosma bogotana,0,1300,1300
Meliosma echeverryana,0,1300,1300
Meliosma frondosa,800,2900,2100
Meliosma glossophylla,0,1700,1700
Meliosma occidentalis,400,1900,1500
Annona edulis,200,1500,1300
Annona hypoglauca,0,500,500
Annona jahnii,0,500,500
Annona montana,200,1700,1500
Annona mucosa,1300,2500,1200
Annona muricata,1000,3400,2400
Annona papilionella,700,1700,1000
Annona quinduensis,500,2400,1900
Annona rensoniana,0,1800,1800
Aparisthmium cordatum,1000,2000,1000
Apeiba glabra,0,1100,1100
Apeiba membranacea,500,1100,600
Apeiba tibourbou,200,800,600
Aphelandra glabrata,0,1900,1900
Aphelandra lasiophylla,300,300,0
Aphelandra pulcherrima,0,1200,1200
Aphelandra runcinata,2000,2700,700
Aphelandra scolnikiae,700,700,0
Aptandra tubicina,0,800,800
Arachnothryx colombiana,700,2300,1600
Aralia excelsa,0,500,500
Ardisia foetida,2400,3000,600
Ardisia guianensis,500,2300,1800
Aspidosperma cruentum,0,100,100
Aspidosperma cuspa,0,900,900
Aspidosperma desmanthum,300,1900,1600
Aspidosperma excelsum,400,1600,1200
Aspidosperma megalocarpon,0,1200,1200
Aspidosperma parvifolium,0,1600,1600
Aspidosperma polyneuron,0,2200,2200
Aspidosperma spruceanum,400,1400,1000
Astrocaryum malybo,2000,2000,0
Astrocaryum triandrum,200,200,0
Astronium graveolens,600,1500,900
Astronium lecointei,0,1300,1300
