Species,Min Elevation Bracket,Max Elevation Bracket
Cyathea lechleri,500-599,2700-2799
Cyathea lindeniana,1100-1199,2700-2799
Cyathea meridensis,1800-1899,2600-2699
Cyathea nephele,2500-2599,2500-2599
Cyathea obnoxia,1900-1999,2500-2599
Cyathea pallescens,1500-1599,2000-2099
Cyathea pauciflora,800-899,800-899
Cyathea pilosissima,200-299,1600-1699
Cyathea planadae,1900-1999,2100-2199
Cyathea pungens,100-199,1700-1799
Cyathea ruiziana,2400-2499,2400-2499
Cyathea squamipes,1100-1199,3300-3399
Cyathea straminea,2900-2999,2900-2999
Cyathostegia mathewsii,500-599,2600-2699
Cybianthus fosteri,1600-1699,1600-1699
Cybianthus marginatus,1500-1599,3300-3399
Cybianthus pastensis,2100-2199,2700-2799
Cybianthus peruvianus,200-299,1100-1199
Cybianthus poeppigii,200-299,200-299
Cybianthus schlimii,800-899,800-899
Cynometra bauhiniifolia,100-199,100-199
Cynophalla flexuosa,300-399,1100-1199
Dacryodes belemensis,200-299,200-299
Dacryodes peruviana,200-299,400-499
Dasyphyllum brasiliense,800-899,800-899
Delostoma integrifolium,1200-1299,2800-2899
Dendrobangia boliviana,100-199,1600-1699
Dendropanax caucanus,1100-1199,1100-1199
Dendropanax cuneatus,200-299,300-399
Dendropanax umbellatus,100-199,1900-1999
Dendropanax williamsii,1400-1499,1400-1499
Deprea subtriflora,300-399,2900-2999
Dialium guianense,100-199,200-299
Dicksonia karsteniana,1500-1599,1500-1599
Dicksonia sellowiana,1500-1599,3000-3099
Dictyocaryum lamarckianum,2200-2299,2200-2299
Dictyoloma vandellianum,100-199,1500-1599
Dioicodendron dioicum,200-299,2500-2599
Diospyros artanthifolia,200-299,800-899
Discophora guianensis,100-199,1400-1499
Doliocarpus dentatus,200-299,1000-1099
Drimys granadensis,2100-2199,3000-3099
Drypetes amazonica,200-299,700-799
Duguetia hadrantha,200-299,300-399
Duranta serratifolia,2400-2499,2400-2499
Duroia hirsuta,100-199,1500-1599
Dussia tessmannii,200-299,1800-1899
Dystovomita paniculata,800-899,1100-1199
Ecclinusa lanceolata,400-499,600-699
Elaeagia ecuadorensis,1500-1599,2700-2799
Elaeagia mariae,300-399,2300-2399
Elaeagia myriantha,1100-1199,2300-2399
