Species,Min Elevation Bracket,Max Elevation Bracket
Ruprechtia laxiflora,500-599,1300-1399
Sambucus nigra,1600-1699,1600-1699
Sambucus peruviana,600-699,2600-2699
Sapium glandulosum,700-799,3000-3099
Schinopsis brasiliensis,1300-1399,1300-1399
Schinopsis marginata,600-699,1400-1499
Scutia buxifolia,800-899,1800-1899
Sebastiania brasiliensis,300-399,1800-1899
Senegalia riparia,900-999,1300-1399
Senna spectabilis,300-399,1600-1699
Sideroxylon obtusifolium,300-399,400-499
Siphoneugena occidentalis,1400-1499,2000-2099
Sisyrinchium micranthum,1100-1199,2900-2999
Solanum aphyodendron,1600-1699,1600-1699
Solanum maturecalvans,1400-1499,1600-1699
Solanum nutans,1400-1499,1800-1899
Solanum riparium,500-599,2100-2199
Solanum sessile,1300-1399,1900-1999
Solanum symmetricum,300-399,1900-1999
Solanum trichoneuron,800-899,1700-1799
Blepharocalyx salicifolius,900-999,2500-2599
Bocconia integrifolia,700-799,1900-1999
Boehmeria caudata,600-699,2000-2099
Boehmeria ulmifolia,1500-1599,1500-1599
Bougainvillea stipitata,300-399,2100-2199
Terminalia triflora,800-899,1700-1799
Ternstroemia brachypoda,1800-1899,1800-1899
Tessaria integrifolia,300-399,1400-1499
Tipuana tipu,300-399,2500-2599
Trema micrantha,200-299,3000-3099
Trichilia claussenii,300-399,1800-1899
Urera baccifera,400-499,1900-1999
Urera caracasana,600-699,600-699
Urera lianoides,1800-1899,1900-1999
Urera simplex,900-999,2000-2099
Vachellia macracantha,400-499,2300-2399
Vallea stipularis,2100-2199,2600-2699
Vasconcellea quercifolia,400-499,3200-3299
Vassobia breviflora,200-299,2400-2499
Virola elongata,400-499,400-499
Ximenia americana,800-899,1400-1499
Xylosma longipetiolata,900-999,1900-1999
Xylosma pubescens,200-299,1700-1799
Zanthoxylum fagara,300-399,1400-1499
Zanthoxylum petiolare,100-199,1100-1199
Zanthoxylum rhoifolium,200-299,1900-1999
Zanthoxylum rigidum,1400-1499,1900-1999
Calycophyllum multiflorum,300-399,1200-1299
Casearia sylvestris,200-299,1300-1399
Cedrela balansae,500-599,900-999
Cedrela fissilis,400-499,1900-1999
Cedrela lilloi,1400-1499,2000-2099
Cedrela montana,1700-1799,1700-1799
Cedrela odorata,300-399,1400-1499
Ceiba chodatii,300-399,1300-1399
Ceiba insignis,500-599,1400-1499
Ceiba speciosa,1300-1399,1300-1399
Celtis iguanaea,900-999,2000-2099
Cestrum parqui,700-799,1600-1699
Chloroleucon mangense,1000-1099,1000-1099
Chrysophyllum gonocarpum,400-499,1600-1699
Chrysophyllum marginatum,700-799,1500-1599
