Species,Min Elevation Bracket,Max Elevation Bracket
Cinchona macrocalyx,2000-2099,2900-2999
Cinchona micrantha,300-399,2600-2699
Cinchona officinalis,1500-1599,3000-3099
Cinchona pubescens,300-399,2900-2999
Cinchona pyrifolia,2200-2299,3100-3199
Cinchonopsis amazonica,300-399,2300-2399
Cissus trianae,1400-1499,2900-2999
Citronella incarum,300-399,3300-3399
Citrus X aurantium,800-899,900-999
Clarisia biflora,100-199,2900-2999
Clarisia racemosa,100-199,1400-1499
Clavija nutans,300-399,1300-1399
Clethra castaneifolia,1400-1499,3500-3599
Clethra cuneata,400-499,3600-3699
Clethra fagifolia,1800-1899,1800-1899
Clethra ferruginea,1900-1999,3800-3899
Clethra fimbriata,3300-3399,3300-3399
Clethra obovata,400-499,3000-3099
Clethra pedicellaris,500-599,2900-2999
Clethra revoluta,600-699,3100-3199
Clethra scabra,300-399,2900-2999
Clitoria arborea,200-299,800-899
Clusia alata,2500-2599,3400-3499
Clusia decussata,500-599,500-599
Clusia ducu,1800-1899,2600-2699
Clusia ducuoides,1700-1799,2700-2799
Clusia elliptica,1700-1799,3200-3299
Clusia flavida,100-199,1300-1399
Clusia hammeliana,300-399,1700-1799
Clusia haughtii,400-499,2800-2899
Clusia lineata,700-799,700-799
Clusia minor,1000-1099,1900-1999
Clusia multiflora,900-999,3500-3599
Clusia octandra,800-899,800-899
Clusia pavonii,2800-2899,2800-2899
Clusia penduliflora,600-699,600-699
Clusia schomburgkiana,300-399,300-399
Clusia schultesii,700-799,2200-2299
Clusia sphaerocarpa,1600-1699,3100-3199
Clusia thurifera,1700-1799,2400-2499
Clusia trochiformis,900-999,3800-3899
Coccoloba acuminata,100-199,500-599
Coccoloba ascendens,400-499,400-499
Coccoloba coronata,1300-1399,1300-1399
Coccoloba densifrons,100-199,400-499
Coccoloba excelsa,200-299,200-299
Coccoloba lehmannii,200-299,400-499
Coccoloba mollis,200-299,1700-1799
Coccoloba peruviana,200-299,1400-1499
Cochlospermum orinocense,100-199,500-599
Coffea arabica,200-299,2100-2199
Colicodendron scabridum,600-699,1300-1399
Colubrina retusa,700-799,1600-1699
Conceveiba terminalis,200-299,1100-1199
Condaminea corymbosa,300-399,2800-2899
Cordia alliodora,100-199,1900-1999
Cordia bicolor,100-199,1600-1699
Cordia lomatoloba,100-199,2400-2499
Cordia lutea,200-299,200-299
Cordia nodosa,100-199,3500-3599
Cordia panamensis,1600-1699,1600-1699
Cordia trichotoma,200-299,200-299
Cordia ucayaliensis,100-199,1700-1799
Cordiera myrciifolia,100-199,600-699
