species,region,range
Cinchona officinalis,b.5.0,300
Cinchona officinalis,c.0.-5,1600
Cinchona officinalis,d.-5.-10,0
Cinchona officinalis,e.-10.-15,1500
Cinchona officinalis,f.-15.-20,1100
Cinchona officinalis,g.-20.-25,N/A
Cinchona pubescens,a.10.5,2500
Cinchona pubescens,b.5.0,1800
Cinchona pubescens,c.0.-5,2000
Cinchona pubescens,d.-5.-10,2200
Cinchona pubescens,e.-10.-15,2600
Cinchona pubescens,f.-15.-20,2700
Cinchona pubescens,g.-20.-25,N/A
Cissus trianae,a.10.5,1500
Cissus trianae,b.5.0,600
Cissus trianae,c.0.-5,800
Cissus trianae,d.-5.-10,1600
Cissus trianae,e.-10.-15,1500
Cissus trianae,f.-15.-20,1000
Cissus trianae,g.-20.-25,N/A
Citronella incarum,a.10.5,1000
Citronella incarum,b.5.0,2300
Citronella incarum,c.0.-5,2500
Citronella incarum,d.-5.-10,2700
Citronella incarum,e.-10.-15,2900
Citronella incarum,f.-15.-20,400
Citronella incarum,g.-20.-25,N/A
Citrus X aurantium,a.10.5,600
Citrus X aurantium,b.5.0,1500
Citrus X aurantium,c.0.-5,2000
Citrus X aurantium,d.-5.-10,1100
Citrus X aurantium,e.-10.-15,100
Citrus X aurantium,f.-15.-20,0
Citrus X aurantium,g.-20.-25,500
Citrus limon,a.10.5,1200
Citrus limon,b.5.0,1500
Citrus limon,c.0.-5,0
Citrus limon,d.-5.-10,1100
Citrus limon,e.-10.-15,N/A
Citrus limon,f.-15.-20,N/A
Citrus limon,g.-20.-25,N/A
Clarisia biflora,a.10.5,1000
Clarisia biflora,b.5.0,1700
Clarisia biflora,c.0.-5,1600
Clarisia biflora,d.-5.-10,2000
Clarisia biflora,e.-10.-15,2800
Clarisia biflora,f.-15.-20,1300
Clarisia biflora,g.-20.-25,N/A
Clarisia racemosa,a.10.5,900
Clarisia racemosa,b.5.0,1100
Clarisia racemosa,c.0.-5,1200
Clarisia racemosa,d.-5.-10,800
Clarisia racemosa,e.-10.-15,1200
Clarisia racemosa,f.-15.-20,1100
Clarisia racemosa,g.-20.-25,N/A
Clethra fagifolia,a.10.5,2700
Clethra fagifolia,b.5.0,2500
Clethra fagifolia,c.0.-5,1400
Clethra fagifolia,d.-5.-10,N/A
Clethra fagifolia,e.-10.-15,N/A
Clethra fagifolia,f.-15.-20,0
Clethra fagifolia,g.-20.-25,N/A
Clethra fimbriata,a.10.5,1800
Clethra fimbriata,b.5.0,1100
Clethra fimbriata,c.0.-5,2500
Clethra fimbriata,d.-5.-10,1300
Clethra fimbriata,e.-10.-15,0
Clethra fimbriata,f.-15.-20,600
Clethra fimbriata,g.-20.-25,N/A
Clethra ovalifolia,a.10.5,400
Clethra ovalifolia,b.5.0,900
Clethra ovalifolia,c.0.-5,1800
Clethra ovalifolia,d.-5.-10,1300
Clethra ovalifolia,e.-10.-15,N/A
Clethra ovalifolia,f.-15.-20,N/A
Clethra ovalifolia,g.-20.-25,N/A
Clethra revoluta,a.10.5,2900
Clethra revoluta,b.5.0,1200
Clethra revoluta,c.0.-5,1600
Clethra revoluta,d.-5.-10,1500
Clethra revoluta,e.-10.-15,2500
Clethra revoluta,f.-15.-20,1200
Clethra revoluta,g.-20.-25,N/A
Clitoria arborea,a.10.5,0
Clitoria arborea,b.5.0,0
Clitoria arborea,c.0.-5,800
Clitoria arborea,d.-5.-10,2000
Clitoria arborea,e.-10.-15,600
Clitoria arborea,f.-15.-20,100
Clitoria arborea,g.-20.-25,N/A
Clusia alata,a.10.5,3000
Clusia alata,b.5.0,1700
Clusia alata,c.0.-5,1600
Clusia alata,d.-5.-10,200
Clusia alata,e.-10.-15,900
Clusia alata,f.-15.-20,N/A
Clusia alata,g.-20.-25,N/A
Clusia crenata,a.10.5,1000
Clusia crenata,b.5.0,700
Clusia crenata,c.0.-5,600
Clusia crenata,d.-5.-10,0
Clusia crenata,e.-10.-15,N/A
Clusia crenata,f.-15.-20,N/A
Clusia crenata,g.-20.-25,N/A
Clusia cuneifolia,a.10.5,1900
