species,region,range
Discophora guianensis,d.-5.-10,1300
Discophora guianensis,e.-10.-15,1300
Doliocarpus dentatus,a.10.5,900
Doliocarpus dentatus,b.5.0,1300
Doliocarpus dentatus,c.0.-5,700
Doliocarpus dentatus,d.-5.-10,800
Doliocarpus dentatus,e.-10.-15,1500
Doliocarpus dentatus,f.-15.-20,1300
Drimys granadensis,a.10.5,2000
Drimys granadensis,b.5.0,1100
Drimys granadensis,c.0.-5,1600
Drimys granadensis,d.-5.-10,900
Dunalia solanacea,a.10.5,2200
Dunalia solanacea,b.5.0,1700
Dunalia solanacea,c.0.-5,1900
Duroia hirsuta,a.10.5,1200
Duroia hirsuta,b.5.0,1300
Duroia hirsuta,c.0.-5,1000
Duroia hirsuta,d.-5.-10,1300
Duroia hirsuta,e.-10.-15,400
Dussia lehmannii,a.10.5,1100
Dussia lehmannii,b.5.0,1700
Dussia lehmannii,c.0.-5,500
Dussia tessmannii,a.10.5,100
Dussia tessmannii,b.5.0,1800
Dussia tessmannii,c.0.-5,2000
Dussia tessmannii,d.-5.-10,1600
Dussia tessmannii,e.-10.-15,2000
Dystovomita paniculata,a.10.5,600
Dystovomita paniculata,c.0.-5,1200
Dystovomita paniculata,d.-5.-10,300
Dystovomita paniculata,e.-10.-15,800
Ecclinusa lanceolata,a.10.5,100
Ecclinusa lanceolata,c.0.-5,400
Ecclinusa lanceolata,d.-5.-10,200
Ecclinusa lanceolata,e.-10.-15,900
Ecclinusa ramiflora,c.0.-5,300
Elaeagia karstenii,a.10.5,1700
Elaeagia karstenii,b.5.0,1400
Elaeagia karstenii,c.0.-5,2100
Elaeagia mariae,a.10.5,700
Elaeagia mariae,b.5.0,1600
Elaeagia mariae,c.0.-5,1600
