species,min_elevation,max_elevation,range
Ilex danielis,400,1100,700
Ilex guayusa,0,2500,2500
Ilex karstenii,300,300,0
Ilex laurina,0,2000,2000
Ilex myricoides,100,1300,1200
Ilex nervosa,700,1900,1200
Ilex pernervata,700,1100,400
Ilex pustulosa,0,0,0
Inga acreana,1000,2200,1200
Inga acrocephala,1100,2000,900
Inga acuminata,0,1100,1100
Inga alba,700,1500,800
Inga capitata,400,2600,2200
Inga chartacea,0,1400,1400
Inga cinnamomea,0,1400,1400
Inga cocleensis,0,1500,1500
Inga coruscans,100,2300,2200
Inga densiflora,0,2900,2900
Inga edulis,400,2200,1800
Inga heterophylla,200,1800,1600
Inga lallensis,0,2200,2200
Inga laurina,0,2000,2000
Inga lopadadenia,0,900,900
Inga macrophylla,0,1800,1800
Inga marginata,1400,2500,1100
Inga mucuna,0,800,800
Inga multijuga,0,1800,1800
Inga multinervis,0,1200,1200
Inga nobilis,1400,2400,1000
Inga oerstediana,1400,2000,600
Inga pezizifera,0,1700,1700
Inga punctata,1300,2300,1000
Inga ruiziana,1000,2000,1000
Inga sapindoides,600,1900,1300
Inga sertulifera,0,1300,1300
Inga sierrae,700,1200,500
Inga spectabilis,0,2000,2000
Inga stenoptera,0,2700,2700
Inga striata,0,2300,2300
Inga thibaudiana,800,1800,1000
Inga umbellifera,400,1600,1200
Inga velutina,0,1800,1800
Inga venusta,0,1300,1300
Inga vera,0,1800,1800
Inga villosissima,0,1500,1500
Iriartea deltoidea,900,1800,900
Iryanthera hostmannii,200,600,400
Iryanthera paraensis,100,1600,1500
Iryanthera ulei,200,1200,1000
Isertia laevis,900,2000,1100
Isidodendron tripterocarpum,100,100,0
Jacaranda caucana,1600,1900,300
Jacaranda copaia,500,2300,1800
Jacaranda glabra,0,2400,2400
Jacaranda hesperia,0,1100,1100
Jacaranda mimosifolia,0,1800,1800
Jacaranda obtusifolia,0,600,600
Jacaratia chocoensis,0,600,600
Jacaratia digitata,0,2100,2100
Joosia umbellifera,0,1800,1800
Juglans neotropica,700,2500,1800
Klarobelia anomala,100,100,0
Lacistema aggregatum,0,1800,1800
Lacistema nena,0,900,900
Lacmellea edulis,0,1600,1600
Lacunaria crenata,0,200,200
Ladenbergia macrocarpa,0,2400,2400
Ladenbergia magdalenae,800,800,0
Ladenbergia muzonensis,900,1500,600
Ladenbergia oblongifolia,1600,2300,700
Lafoensia acuminata,0,2000,2000
Lecointea amazonica,600,700,100
Lecythis ampla,0,800,800
Lecythis mesophylla,600,600,0
Lecythis minor,0,100,100
Lecythis tuyrana,0,500,500
Leonia glycycarpa,300,1500,1200
Leonia triandra,600,700,100
Leucaena trichodes,0,1700,1700
Licania hypoleuca,200,900,700
Licania micrantha,100,900,800
Licaria applanata,0,1900,1900
Licaria canella,0,2000,2000
Licaria cannella,0,2000,2000
Licaria triandra,0,1500,1500
Lindackeria laurina,0,1000,1000
Lindackeria paludosa,300,800,500
Lippia americana,0,500,500
Lippia hirsuta,700,1900,1200
Lonchocarpus macrophyllus,0,0,0
Lonchocarpus sericeus,0,400,400
Lozanella enantiophylla,800,2000,1200
Lozania mutisiana,500,2000,1500
Luehea seemannii,0,1200,1200
Lunania parviflora,0,2300,2300
Lycianthes inaequilatera,1300,2000,700
Lycianthes pauciflora,1500,2200,700
Mabea occidentalis,0,1500,1500
Mabea trianae,300,600,300
Machaerium biovulatum,300,1200,900
Machaerium capote,700,1100,400
Machaerium floribundum,200,1400,1200
Machaerium hirtum,200,1800,1600
Machaerium lanceolatum,300,300,0
Machaerium moritzianum,400,400,0
Macleania rupestris,0,2400,2400
Maclura tinctoria,1200,3600,2400
Macrocarpaea glabra,1400,1900,500
Macrocarpaea macrophylla,1600,2000,400
Macrocnemum grandiflorum,100,100,0
Macrocnemum roseum,300,2400,2100
Macrohasseltia macroterantha,400,400,0
Macrolobium colombianum,500,1600,1100
Macrolobium gracile,100,1500,1400
Macrolobium pittieri,200,200,0
Magnolia cespedesii,0,0,0
Magnolia chimantensis,0,0,0
Magnolia espinalii,300,300,0
Magnolia silvioi,900,900,0
Magnolia urraoensis,1100,1100,0
Magnolia yarumalensis,400,400,0
Malouetia guatemalensis,400,400,0
Malpighia glabra,200,1300,1100
Manilkara bidentata,0,1800,1800
Maprounea guianensis,0,1200,1200
Maquira guianensis,300,900,600
Marcgraviastrum macrocarpum,0,1500,1500
Margaritaria nobilis,700,2000,1300
Marila geminata,200,200,0
Marila laxiflora,0,2300,2300
Marila podantha,200,1000,800
Matayba adenanthera,1200,1200,0
Matayba arborescens,0,1000,1000
Matayba camptoneura,0,1000,1000
Matayba elegans,0,2300,2300
Matayba guianensis,700,1600,900
Matayba peruviana,0,1700,1700
Matayba purgans,0,500,500
Matayba scrobiculata,0,300,300
Matisia castano,0,600,600
Matisia cornu-copiae,0,700,700
Matisia floccosa,0,900,900
Matisia idroboi,0,1300,1300
Matudaea colombiana,0,0,0
Mauria ferruginea,0,2500,2500
Mauria heterophylla,0,3000,3000
Mayna grandifolia,0,1400,1400
Mayna odorata,900,1700,800
Mayna suaveolens,0,0,0
Maytenus longipes,100,100,0
Maytenus verticillata,0,2300,2300
Melicoccus bijugatus,500,1500,1000
Melicoccus oliviformis,0,300,300
Meliosma echeverryana,0,1300,1300
Meliosma frondosa,800,2700,1900
Meliosma glossophylla,0,1700,1700
Meliosma occidentalis,0,1500,1500
Annona edulis,0,1500,1500
Annona jahnii,0,500,500
Annona montana,0,900,900
Annona mucosa,1200,2500,1300
Annona muricata,1000,3400,2400
Annona papilionella,700,1600,900
Annona quinduensis,500,1900,1400
Annona rensoniana,0,1600,1600
Aparisthmium cordatum,1000,2000,1000
Apeiba glabra,0,1100,1100
Apeiba membranacea,500,1100,600
Apeiba tibourbou,200,800,600
Aphelandra glabrata,300,1200,900
Aphelandra lasiophylla,100,100,0
Aphelandra pulcherrima,0,1200,1200
Aphelandra runcinata,1200,1300,100
Aphelandra scolnikiae,200,200,0
Aptandra tubicina,100,700,600
Arachnothryx colombiana,300,1400,1100
Aralia excelsa,0,0,0
Ardisia foetida,0,2900,2900
Ardisia guianensis,500,2300,1800
Aspidosperma cuspa,0,600,600
Aspidosperma desmanthum,300,1500,1200
Aspidosperma excelsum,200,1000,800
Aspidosperma megalocarpon,0,1100,1100
Aspidosperma parvifolium,0,1100,1100
Aspidosperma polyneuron,0,2200,2200
Aspidosperma spruceanum,300,1400,1100
Astrocaryum malybo,600,600,0
Astrocaryum triandrum,0,0,0
Astronium graveolens,400,1200,800
Astronium lecointei,0,1100,1100
Meliosma schlimii,0,1300,1300
Meliosma vasquezii,0,1700,1700
Meliosma violacea,0,1800,1800
Meriania albertiae,400,400,0
Meriania brachycera,700,1300,600
Meriania grandidens,0,1200,1200
Meriania longifolia,1300,2000,700
Meriania nobilis,100,1200,1100
Meriania quintuplinervis,0,1100,1100
Meriania tomentosa,100,1700,1600
Miconia acanthocoryne,100,100,0
Miconia affinis,600,2000,1400
Miconia albicans,100,2000,1900
Miconia alternans,0,1600,1600
Miconia aponeura,0,1100,1100
Miconia asperrima,300,1100,800
Miconia astroplocama,0,1800,1800
Miconia biappendiculata,400,800,400
Miconia brachycalyx,400,1600,1200
Miconia bracteolata,200,2300,2100
Miconia brevitheca,300,3000,2700
Miconia caesia,1400,1400,0
Miconia calvescens,0,2400,2400
Miconia caudata,0,1900,1900
Miconia centrodesma,500,2300,1800
Miconia chlorocarpa,300,800,500
Miconia chrysophylla,0,1800,1800
Miconia cladonia,1200,1800,600
Miconia costaricensis,200,1500,1300
Miconia crassinervia,0,700,700
Miconia cundinamarcensis,700,1100,400
Miconia decurrens,0,1000,1000
Miconia divergens,0,0,0
Miconia dodecandra,700,1800,1100
Miconia dolichopoda,1300,1500,200
Miconia dolichorrhyncha,1300,2500,1200
Miconia donaeana,0,500,500
Miconia elata,400,3400,3000
Miconia floribunda,200,1600,1400
Miconia fragrans,0,700,700
Miconia goniostigma,600,1800,1200
Miconia gracilis,400,1900,1500
Miconia ibaguensis,0,2200,2200
Miconia incachacana,0,500,500
Miconia jahnii,600,2700,2100
Miconia laetivirens,0,0,0
Miconia lamprophylla,0,1300,1300
Miconia latifolia,0,3200,3200
