species,genus,region,range,genus_in_region
Coccoloba coronata,Coccoloba,c.0.-5,200,6
Coccoloba coronata,Coccoloba,d.-5.-10,200,5
Coccoloba densifrons,Coccoloba,a.10.5,300,5
Coccoloba densifrons,Coccoloba,b.5.0,300,4
Coccoloba densifrons,Coccoloba,c.0.-5,900,6
Coccoloba densifrons,Coccoloba,d.-5.-10,200,5
Coccoloba densifrons,Coccoloba,e.-10.-15,100,4
Coccoloba lehmannii,Coccoloba,c.0.-5,500,6
Coccoloba mollis,Coccoloba,a.10.5,500,5
Coccoloba mollis,Coccoloba,b.5.0,400,4
Coccoloba mollis,Coccoloba,c.0.-5,900,6
Coccoloba mollis,Coccoloba,d.-5.-10,1500,5
Coccoloba mollis,Coccoloba,e.-10.-15,1500,4
Coccoloba mollis,Coccoloba,f.-15.-20,1300,2
Coccoloba obovata,Coccoloba,a.10.5,1200,5
Coccoloba obovata,Coccoloba,b.5.0,300,4
Coccoloba obovata,Coccoloba,c.0.-5,300,6
Cochlospermum orinocense,Cochlospermum,a.10.5,900,1
Cochlospermum orinocense,Cochlospermum,b.5.0,400,1
Cochlospermum orinocense,Cochlospermum,d.-5.-10,100,1
Cochlospermum orinocense,Cochlospermum,e.-10.-15,400,1
Coffea arabica,Coffea,a.10.5,1600,1
Coffea arabica,Coffea,b.5.0,1900,1
Coffea arabica,Coffea,c.0.-5,2000,1
Coffea arabica,Coffea,d.-5.-10,1300,1
Coffea arabica,Coffea,e.-10.-15,1900,1
Coffea arabica,Coffea,f.-15.-20,1500,1
Conceveiba terminalis,Conceveiba,b.5.0,100,1
Conceveiba terminalis,Conceveiba,e.-10.-15,800,1
Condaminea corymbosa,Condaminea,a.10.5,1400,1
Condaminea corymbosa,Condaminea,b.5.0,1800,1
Condaminea corymbosa,Condaminea,c.0.-5,2200,1
Condaminea corymbosa,Condaminea,d.-5.-10,1900,1
Condaminea corymbosa,Condaminea,e.-10.-15,2400,1
Condaminea corymbosa,Condaminea,f.-15.-20,2400,1
Cordia alliodora,Cordia,a.10.5,1700,4
Cordia alliodora,Cordia,b.5.0,3300,6
Cordia alliodora,Cordia,c.0.-5,2000,4
Cordia alliodora,Cordia,d.-5.-10,2600,5
Cordia alliodora,Cordia,e.-10.-15,1800,4
Cordia alliodora,Cordia,f.-15.-20,1400,3
Cordia bicolor,Cordia,a.10.5,1200,4
Cordia bicolor,Cordia,b.5.0,200,6
Cordia bicolor,Cordia,d.-5.-10,200,5
Cordia bicolor,Cordia,e.-10.-15,1500,4
Cordia bicolor,Cordia,f.-15.-20,1000,3
Cordia nodosa,Cordia,a.10.5,1300,4
Cordia nodosa,Cordia,b.5.0,1200,6
Cordia nodosa,Cordia,c.0.-5,1200,4
Cordia nodosa,Cordia,d.-5.-10,1500,5
Cordia nodosa,Cordia,e.-10.-15,3400,4
Cordia nodosa,Cordia,f.-15.-20,1200,3
Cordia panamensis,Cordia,a.10.5,1600,4
Cordia panamensis,Cordia,b.5.0,1400,6
Cornus peruviana,Cornus,a.10.5,700,1
Cornus peruviana,Cornus,b.5.0,1500,1
Cornus peruviana,Cornus,c.0.-5,2100,1
Cornus peruviana,Cornus,d.-5.-10,1300,1
Cornus peruviana,Cornus,e.-10.-15,1800,1
Cornus peruviana,Cornus,f.-15.-20,700,1
Cornutia pyramidata,Cornutia,a.10.5,500,1
Cornutia pyramidata,Cornutia,b.5.0,1500,1
Cornutia pyramidata,Cornutia,c.0.-5,1800,1
Cornutia pyramidata,Cornutia,d.-5.-10,600,1
Cornutia pyramidata,Cornutia,e.-10.-15,1000,1
Cosmibuena grandiflora,Cosmibuena,a.10.5,1100,1
Cosmibuena grandiflora,Cosmibuena,b.5.0,1300,1
Cosmibuena grandiflora,Cosmibuena,c.0.-5,900,1
Cosmibuena grandiflora,Cosmibuena,d.-5.-10,1700,1
Cosmibuena grandiflora,Cosmibuena,e.-10.-15,1600,1
Cosmibuena grandiflora,Cosmibuena,f.-15.-20,1600,1
Couma macrocarpa,Couma,a.10.5,700,1
Couma macrocarpa,Couma,b.5.0,700,1
Couma macrocarpa,Couma,c.0.-5,500,1
Couma macrocarpa,Couma,d.-5.-10,400,1
Couma macrocarpa,Couma,e.-10.-15,500,1
Couratari guianensis,Couratari,a.10.5,800,1
Couratari guianensis,Couratari,b.5.0,500,1
Couratari guianensis,Couratari,c.0.-5,200,1
Couratari guianensis,Couratari,d.-5.-10,100,1
Couratari guianensis,Couratari,e.-10.-15,600,1
Couroupita guianensis,Couroupita,a.10.5,100,1
Couroupita guianensis,Couroupita,b.5.0,400,1
Couroupita guianensis,Couroupita,c.0.-5,400,1
Couroupita guianensis,Couroupita,d.-5.-10,200,1
Couroupita guianensis,Couroupita,e.-10.-15,100,1
Coussapoa crassivenosa,Coussapoa,a.10.5,400,3
Coussapoa crassivenosa,Coussapoa,b.5.0,800,3
Coussapoa crassivenosa,Coussapoa,c.0.-5,1300,3
Coussapoa herthae,Coussapoa,a.10.5,1000,3
Coussapoa herthae,Coussapoa,b.5.0,500,3
Coussapoa herthae,Coussapoa,c.0.-5,700,3
Coussapoa villosa,Coussapoa,a.10.5,1800,3
Coussapoa villosa,Coussapoa,b.5.0,1500,3
Coussapoa villosa,Coussapoa,c.0.-5,1800,3
Coussapoa villosa,Coussapoa,d.-5.-10,2000,1
Coussapoa villosa,Coussapoa,e.-10.-15,1700,1
Coussapoa villosa,Coussapoa,f.-15.-20,100,1
Coussarea hirticalyx,Coussarea,b.5.0,700,3
Coussarea hirticalyx,Coussarea,c.0.-5,400,4
Coussarea hirticalyx,Coussarea,d.-5.-10,800,3
Coussarea hirticalyx,Coussarea,e.-10.-15,100,2
Coussarea klugii,Coussarea,c.0.-5,1000,4
Coussarea klugii,Coussarea,d.-5.-10,700,3
Coussarea paniculata,Coussarea,a.10.5,1900,1
Coussarea paniculata,Coussarea,b.5.0,1300,3
Coussarea paniculata,Coussarea,c.0.-5,1300,4
Coussarea paniculata,Coussarea,d.-5.-10,1100,3
Coussarea paniculata,Coussarea,e.-10.-15,1400,2
Coussarea paniculata,Coussarea,f.-15.-20,700,1
Coutarea hexandra,Coutarea,a.10.5,1100,1
Coutarea hexandra,Coutarea,b.5.0,700,1
Coutarea hexandra,Coutarea,c.0.-5,700,1
Coutarea hexandra,Coutarea,d.-5.-10,600,1
Coutarea hexandra,Coutarea,e.-10.-15,1100,1
Coutarea hexandra,Coutarea,f.-15.-20,1300,1
Crepidospermum rhoifolium,Crepidospermum,a.10.5,1000,1
Crepidospermum rhoifolium,Crepidospermum,b.5.0,600,1
Crepidospermum rhoifolium,Crepidospermum,c.0.-5,500,1
Croton lechleri,Croton,b.5.0,1100,3
Croton lechleri,Croton,c.0.-5,2200,5
Croton lechleri,Croton,d.-5.-10,1700,4
Croton lechleri,Croton,e.-10.-15,2200,5
Croton lechleri,Croton,f.-15.-20,1200,2
Croton schiedeanus,Croton,a.10.5,1100,1
Croton schiedeanus,Croton,b.5.0,800,3
Croton schiedeanus,Croton,c.0.-5,1000,5
Croton schiedeanus,Croton,d.-5.-10,1100,4
Croton schiedeanus,Croton,e.-10.-15,400,5
Cuatresia cuspidata,Cuatresia,a.10.5,100,2
Cuatresia cuspidata,Cuatresia,b.5.0,100,2
Cuatresia cuspidata,Cuatresia,c.0.-5,700,2
Cuatresia riparia,Cuatresia,a.10.5,1900,2
Cuatresia riparia,Cuatresia,b.5.0,1600,2
Cuatresia riparia,Cuatresia,c.0.-5,2100,2
Cupania americana,Cupania,a.10.5,1200,4
Cupania americana,Cupania,b.5.0,1600,4
Cupania americana,Cupania,e.-10.-15,2200,4
Cupania cinerea,Cupania,a.10.5,1500,4
Cupania cinerea,Cupania,b.5.0,3400,4
Cupania cinerea,Cupania,c.0.-5,1800,2
Cupania cinerea,Cupania,d.-5.-10,700,3
Cupania cinerea,Cupania,e.-10.-15,1500,4
Cupania cinerea,Cupania,f.-15.-20,1300,2
Cupania latifolia,Cupania,a.10.5,2200,4
Cupania latifolia,Cupania,b.5.0,1600,4
Cupania latifolia,Cupania,c.0.-5,1400,2
Cupania latifolia,Cupania,d.-5.-10,2500,3
Cupania latifolia,Cupania,e.-10.-15,1300,4
Cupania latifolia,Cupania,f.-15.-20,1200,2
Cupania scrobiculata,Cupania,a.10.5,1600,4
Cupania scrobiculata,Cupania,b.5.0,1300,4
Cupania scrobiculata,Cupania,d.-5.-10,600,3
Cupania scrobiculata,Cupania,e.-10.-15,600,4
Curatella americana,Curatella,a.10.5,900,1
Curatella americana,Curatella,b.5.0,600,1
Curatella americana,Curatella,d.-5.-10,200,1
Curatella americana,Curatella,e.-10.-15,1600,1
