species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Allomaieta hirsuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allomaieta pancurana,0,0,0,0,0,2,7,12,8,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allomaieta villosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus amazonicus,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus edulis,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus excelsus,0,0,0,0,0,0,0,0,3,0,1,0,0,6,1,0,2,0,1,0,0,2,1,7,2,6,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Allophylus floribundus,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus loretensis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus psilospermus,0,4,0,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alnus acuminata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,4,0,7,2,3,2,1,4,2,4,2,2,3,2,0,0,0,0,0,0
Alseis blackiana,0,5,2,7,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysophyllum venezuelanense,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciliosemina pedunculata,0,2,5,8,2,6,3,0,0,2,1,2,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciliosemina purdieana,0,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinchona antioquiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinchona macrocalyx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinchona officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0
Cinchona pubescens,0,0,0,1,1,1,3,1,1,0,0,0,0,6,0,0,0,5,5,5,8,9,8,4,4,2,7,12,2,3,2,3,0,1,0,0,0,0,0,0,0
Cissus trianae,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Citharexylum montanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
